time,Latitude,,Longitude,
233123,4202.1194,N,7141.7892,W
233124,4202.1194,N,7141.7893,W
233125,4202.1195,N,7141.7893,W
233126,4202.1196,N,7141.7892,W
233127,4202.1197,N,7141.7892,W
233128,4202.1198,N,7141.7891,W
233129,4202.1198,N,7141.789,W
233130,4202.1199,N,7141.789,W
233131,4202.1199,N,7141.789,W
233132,4202.12,N,7141.789,W
233133,4202.12,N,7141.789,W
233134,4202.12,N,7141.7889,W
233135,4202.12,N,7141.7889,W
233136,4202.12,N,7141.7889,W
233137,4202.1199,N,7141.7889,W
233138,4202.1199,N,7141.789,W
233139,4202.1198,N,7141.789,W
233140,4202.1198,N,7141.789,W
233141,4202.1197,N,7141.789,W
233142,4202.1197,N,7141.789,W
233143,4202.1197,N,7141.789,W
233144,4202.1196,N,7141.7891,W
233145,4202.1196,N,7141.7891,W
233146,4202.1196,N,7141.7891,W
233147,4202.1196,N,7141.7891,W
233148,4202.1196,N,7141.7891,W
233149,4202.1196,N,7141.7891,W
233150,4202.1196,N,7141.7891,W
233151,4202.1196,N,7141.789,W
233152,4202.1196,N,7141.789,W
233153,4202.1196,N,7141.789,W
233154,4202.1196,N,7141.789,W
233155,4202.1196,N,7141.789,W
233156,4202.1196,N,7141.789,W
233157,4202.1196,N,7141.789,W
233158,4202.1196,N,7141.789,W
233159,4202.1196,N,7141.789,W
233200,4202.1196,N,7141.789,W
233201,4202.1196,N,7141.789,W
233202,4202.1196,N,7141.789,W
233203,4202.1196,N,7141.789,W
233204,4202.1196,N,7141.789,W
233205,4202.1196,N,7141.789,W
233206,4202.1196,N,7141.789,W
233207,4202.1196,N,7141.789,W
233208,4202.1196,N,7141.789,W
233209,4202.1196,N,7141.789,W
233210,4202.1196,N,7141.789,W
233211,4202.1196,N,7141.789,W
233212,4202.1196,N,7141.789,W
233213,4202.1196,N,7141.789,W
233214,4202.1196,N,7141.789,W
233215,4202.1196,N,7141.789,W
233216,4202.1196,N,7141.789,W
233217,4202.1196,N,7141.789,W
233218,4202.1196,N,7141.789,W
233219,4202.1196,N,7141.789,W
233220,4202.1196,N,7141.789,W
233221,4202.1196,N,7141.789,W
233222,4202.1196,N,7141.789,W
233223,4202.1196,N,7141.789,W
233224,4202.1196,N,7141.789,W
233225,4202.1196,N,7141.789,W
233226,4202.1196,N,7141.789,W
233227,4202.1196,N,7141.789,W
233228,4202.1196,N,7141.789,W
233229,4202.1196,N,7141.789,W
233230,4202.1196,N,7141.789,W
233231,4202.1196,N,7141.789,W
233232,4202.1196,N,7141.789,W
233233,4202.1196,N,7141.7889,W
233234,4202.1196,N,7141.7889,W
233235,4202.1196,N,7141.7889,W
233236,4202.1196,N,7141.7889,W
233237,4202.1196,N,7141.7889,W
233238,4202.1196,N,7141.7889,W
233239,4202.1196,N,7141.7889,W
233240,4202.1196,N,7141.789,W
233241,4202.1196,N,7141.7889,W
233242,4202.1196,N,7141.7889,W
233243,4202.1196,N,7141.7888,W
233244,4202.1196,N,7141.7888,W
233245,4202.1196,N,7141.7888,W
233246,4202.1196,N,7141.7887,W
233247,4202.1196,N,7141.7887,W
233248,4202.1196,N,7141.7886,W
233249,4202.1196,N,7141.7886,W
233250,4202.1196,N,7141.7885,W
233251,4202.1196,N,7141.7885,W
233252,4202.1196,N,7141.7885,W
233253,4202.1196,N,7141.7885,W
233254,4202.1196,N,7141.7884,W
233255,4202.1196,N,7141.7884,W
233256,4202.1196,N,7141.7884,W
233257,4202.1196,N,7141.7884,W
233258,4202.1196,N,7141.7883,W
233259,4202.1196,N,7141.7883,W
233300,4202.1196,N,7141.7883,W
233301,4202.1196,N,7141.7882,W
233302,4202.1196,N,7141.7882,W
233303,4202.1196,N,7141.7882,W
233304,4202.1196,N,7141.7881,W
233305,4202.1196,N,7141.7881,W
233306,4202.1196,N,7141.7881,W
233307,4202.1195,N,7141.788,W
233308,4202.1195,N,7141.788,W
233309,4202.1195,N,7141.7879,W
233310,4202.1195,N,7141.7879,W
233311,4202.1195,N,7141.7878,W
233312,4202.1195,N,7141.7878,W
233313,4202.1195,N,7141.7877,W
233314,4202.1195,N,7141.7877,W
233315,4202.1195,N,7141.7877,W
233316,4202.1195,N,7141.7876,W
233317,4202.1195,N,7141.7876,W
233318,4202.1195,N,7141.7876,W
233319,4202.1195,N,7141.7876,W
233320,4202.1195,N,7141.7876,W
233321,4202.1195,N,7141.7876,W
233322,4202.1194,N,7141.7876,W
233323,4202.1194,N,7141.7876,W
233324,4202.1194,N,7141.7876,W
233325,4202.1194,N,7141.7876,W
233326,4202.1194,N,7141.7876,W
233327,4202.1194,N,7141.7876,W
233328,4202.1194,N,7141.7876,W
233329,4202.1194,N,7141.7876,W
233330,4202.1194,N,7141.7876,W
233331,4202.1194,N,7141.7876,W
233332,4202.1194,N,7141.7876,W
233333,4202.1194,N,7141.7876,W
233334,4202.1194,N,7141.7876,W
233335,4202.1194,N,7141.7876,W
233336,4202.1194,N,7141.7876,W
233337,4202.1194,N,7141.7876,W
233338,4202.1194,N,7141.7876,W
233339,4202.1194,N,7141.7876,W
233340,4202.1194,N,7141.7876,W
233341,4202.1194,N,7141.7876,W
233342,4202.1194,N,7141.7876,W
233343,4202.1194,N,7141.7876,W
233344,4202.1194,N,7141.7876,W
233345,4202.1194,N,7141.7876,W
233346,4202.1194,N,7141.7876,W
233347,4202.1194,N,7141.7876,W
233348,4202.1194,N,7141.7876,W
233349,4202.1194,N,7141.7876,W
233350,4202.1194,N,7141.7876,W
233351,4202.1194,N,7141.7876,W
233352,4202.1194,N,7141.7876,W
233353,4202.1194,N,7141.7876,W
233354,4202.1194,N,7141.7876,W
233355,4202.1194,N,7141.7876,W
233356,4202.1194,N,7141.7876,W
233357,4202.1194,N,7141.7876,W
233358,4202.1194,N,7141.7876,W
233359,4202.1194,N,7141.7876,W
233400,4202.1194,N,7141.7876,W
233401,4202.1194,N,7141.7876,W
233402,4202.1194,N,7141.7876,W
233403,4202.1194,N,7141.7876,W
233404,4202.1194,N,7141.7876,W
233405,4202.1194,N,7141.7876,W
233406,4202.1194,N,7141.7876,W
233407,4202.1194,N,7141.7876,W
233408,4202.1194,N,7141.7876,W
233409,4202.1194,N,7141.7876,W
233410,4202.1194,N,7141.7876,W
233411,4202.1194,N,7141.7876,W
233412,4202.1194,N,7141.7876,W
233413,4202.1194,N,7141.7876,W
233414,4202.1194,N,7141.7876,W
233415,4202.1194,N,7141.7876,W
233416,4202.1194,N,7141.7876,W
233417,4202.1194,N,7141.7876,W
233418,4202.1194,N,7141.7876,W
233419,4202.1194,N,7141.7876,W
233420,4202.1194,N,7141.7876,W
233421,4202.1194,N,7141.7876,W
233422,4202.1194,N,7141.7876,W
233423,4202.1194,N,7141.7876,W
233424,4202.1194,N,7141.7876,W
233425,4202.1194,N,7141.7876,W
233426,4202.1194,N,7141.7876,W
233427,4202.1194,N,7141.7876,W
233428,4202.1194,N,7141.7876,W
233429,4202.1194,N,7141.7877,W
233430,4202.1194,N,7141.7877,W
233431,4202.1194,N,7141.7877,W
233432,4202.1194,N,7141.7877,W
233433,4202.1194,N,7141.7877,W
233434,4202.1194,N,7141.7877,W
233435,4202.1194,N,7141.7877,W
233436,4202.1194,N,7141.7877,W
233437,4202.1194,N,7141.7877,W
233438,4202.1194,N,7141.7877,W
233439,4202.1194,N,7141.7877,W
233440,4202.1194,N,7141.7877,W
233441,4202.1194,N,7141.7877,W
233442,4202.1194,N,7141.7877,W
233443,4202.1194,N,7141.7877,W
233444,4202.1194,N,7141.7877,W
233445,4202.1194,N,7141.7877,W
233446,4202.1194,N,7141.7876,W
233447,4202.1194,N,7141.7876,W
233448,4202.1194,N,7141.7876,W
233449,4202.1194,N,7141.7876,W
233450,4202.1194,N,7141.7876,W
233451,4202.1194,N,7141.7876,W
233452,4202.1194,N,7141.7876,W
233453,4202.1194,N,7141.7876,W
233454,4202.1194,N,7141.7876,W
233455,4202.1194,N,7141.7876,W
233456,4202.1194,N,7141.7876,W
233457,4202.1194,N,7141.7876,W
233458,4202.1194,N,7141.7876,W
233459,4202.1194,N,7141.7877,W
233500,4202.1194,N,7141.7877,W
233501,4202.1194,N,7141.7877,W
233502,4202.1194,N,7141.7877,W
233503,4202.1194,N,7141.7877,W
233504,4202.1194,N,7141.7877,W
233505,4202.1194,N,7141.7877,W
233506,4202.1194,N,7141.7877,W
233507,4202.1194,N,7141.7877,W
